TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3
f004522,남,60,31,31110,28,28237,50,50130,2,2,2,4,3,3,3,4,인천광역시,울산,2023-07-21~2023-07-22,1,6.0,2.0
f001484,여,50,26,26350,30,30200,11,11680,4,2,6,1,1,5,7,4,광주광역시,부산,2023-05-27~2023-05-29,6,1.0,2.0
f015159,여,50,47,47130,48,48740,47,47230,5,4,5,3,3,5,6,4,경상북도,경북,2023-09-02~2023-09-02,8,7.0,3.0
f000603,남,30,41,41360,28,28710,42,42150,2,3,3,4,3,3,4,6,서울특별시,경남,2023-05-16~2023-05-19,7,3.0,10.0
f016039,남,50,47,47130,47,47230,31,31170,3,5,5,4,6,5,2,4,경상북도,경북,2023-09-09~2023-09-09,6,8.0,7.0
f015540,여,30,42,42110,41,41830,41,41820,2,3,3,3,3,3,2,5,서울특별시,강원,2023-09-04~2023-09-04,3,7.0,4.0
f001547,여,40,11,11140,50,50130,26,26500,2,2,3,3,3,3,5,6,강원도,강원,2023-05-27~2023-05-29,5,3.0,1.0
f000592,여,60,42,42210,41,41820,41,41830,1,2,1,1,2,2,1,3,서울특별시,강원,2023-05-27~2023-05-28,2,8.0,7.0
f015848,남,20,11,11110,28,28200,30,30230,5,6,5,5,6,6,5,6,대전광역시,강원,2023-09-16~2023-09-16,3,,
f003744,남,30,26,26350,47,47130,27,27260,5,5,6,4,5,6,6,5,울산광역시,부산,2023-07-08~2023-07-08,3,5.0,7.0
f005947,남,20,42,42150,42,42230,26,26200,4,2,5,2,2,6,2,6,경기도,강원,2023-08-22~2023-08-23,3,1.0,2.0
