TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
g_g000935,G04,g000935,25;24;21;22;1,2023-05-28,2023-05-31,자가용,충청권 방문/충청권 외 거주/39세 이하/부부/일반미션,25;24;21;22;1,25;1;3
g_g000937,G02,g000937,1;11;21;22;28,2023-06-02,2023-06-05,대중교통 등,전라권 방문/호남권 외 거주/40세 이상/자녀동반/일반미션,1;11;21;22;28,11;5;6
g_g000938,G03,g000938,2;22,2023-05-27,2023-05-28,자가용,전라권 방문/호남권 외 거주/40세 이상/자녀동반/일반미션,2;22,2;9;22
g_g000939,G04,g000939,22,2023-05-28,2023-05-30,자가용,대전 방문/거주지 구분 없음/39세 이하/특별미션,22,22;2;24
g_g000940,G02,g000940,28,2023-06-03,2023-06-05,대중교통 등,전북 방문/거주지 구분 없음/39세 이하/특별미션,28,28;27;24
g_g000943,G06,g000943,1;26;27;5;8,2023-05-30,2023-06-02,자가용,충청권 방문/충청권 거주/39세 이하/부모 동반/일반미션,1;26;27;5;8,8;11;1
g_g000944,G02,g000944,2;22;26,2023-05-27,2023-05-30,대중교통 등,전라권 방문/호남권 거주/39세 이하/3인 이상 친구/일반미션,2;22;26,3;2;9
g_g000945,G02,g000945,22;24;4;12;26;1,2023-06-04,2023-06-05,자가용,전라권 방문/호남권 거주/39세 이하/커플/일반미션,22;24;4;12;26;1,22;3;11
g_g000946,G03,g000946,24;9;2;28,2023-05-28,2023-05-29,자가용,전라권 방문/호남권 거주/40세 이상/커플/일반미션,24;9;2;28,9;1;3
g_g000947,G02,g000947,21;3;4;1;22;24,2023-05-27,2023-05-28,자가용,전라권 방문/호남권 거주/39세 이하/커플/일반미션,21;3;4;1;22;24,4;3;1
g_g000949,G02,g000949,1;2;3;5;4;6;8;9;10;12;11;22;23;24;26,2023-05-27,2023-05-30,자가용,전라권 방문/호남권 외 거주/39세 이하/자녀동반/일반미션,1;2;3;5;4;6;8;9;10;12;11;22;23;24;26,2;3;12
g_g000950,G03,g000950,1;11;2;24;27,2023-05-31,2023-06-02,자가용,전라권 방문/호남권 외 거주/40세 이상/3인 이상 친구/일반미션,1;11;2;24;27,11;2;21
g_g000952,G03,g000952,2;21;3;4;9,2023-05-28,2023-05-30,자가용,전라권 방문/호남권 외 거주/39세 이하/커플/일반미션,2;21;3;4;9,3;1;22
g_g000954,G03,g000954,2;22;9,2023-05-27,2023-05-30,자가용,전남 방문/거주지 구분 없음/40세 이상/특별미션,2;22;9,27;22;10
g_g000957,G02,g000957,22;26;27;4;3,2023-05-28,2023-05-29,자가용,전라권 방문/호남권 외 거주/39세 이하/커플/일반미션,22;26;27;4;3,2;3;26
